1	121136.9008	139331.7419	0.9849	71.1724
1	83925.3463	129910.2336	1.5744	69.511
1	16230.6839	78454.9989	1.6619	48.8908
1	10302.25	52136.8456	2.3233	94.2425
1	31270.0314	131321.7235	2.3772	55.3981
1	206460.4531	63153.5951	-0.8222	68.4991
1	207916.6971	125894.4944	0.0923	1.2831
1	128301.4163	7833.3479	-0.1916	0.3302
1	0	0	0.5363	0.5363
2	8.749	12.8447	0.9857	69.7539
2	5.707	9.0467	1.3176	64.2989
2	1.0865	3.5012	1.2011	27.8114
2	1.145	8.8705	2.3469	62.7219
2	2.1004	6.8269	1.9502	44.482
2	14.0753	10.7817	-0.4539	13.2335
2	14.3056	12.5909	0.1424	1.8079
2	8.7818	1.1273	0.51	2.467
2	0	0	2.0677	2.0677
