17846.5547	179585.7272	12683.8129	87858.6246
38648.2463	374265.4592	2505.5394	39835.7393
285871.4306	668253.47	50122.2399	104368.1786
96279.5443	365285.2804	12037.0854	41859.975
152928.9355	318290.9725	21497.8499	49328.95
125162.7729	211839.2682	19216.0654	43254.1727
44287.1695	507198.8657	4830.8904	68413.4663
18808.2656	100989.2848	6305.4483	40563.2157
52790.1457	326673.1725	18220.5894	82726.6874
298770.4398	891124.9739	47708.1492	153879.4764
126657.4277	601025.4222	18534.385	82988.7629
39777.9425	68281.8526	14453.5267	65796.2716
24514.9779	153115.5561	6440.2502	38222.6937
451742.5215	1001746.003	64481.6337	146646.0141
106826.6784	749529.3537	16003.3612	112508.7193
42389.5741	109747.4063	15784.5954	43908.3077
